"Protocol" "Study" "CellType"
"D2ex_1" "CELseq" "GSE81076" "Acinar"
"D2ex_2" "CELseq" "GSE81076" "Acinar"
"D2ex_3" "CELseq" "GSE81076" "Acinar"
"D2ex_4" "CELseq" "GSE81076" "Ductal"
"D2ex_5" "CELseq" "GSE81076" "Ductal"
"D2ex_6" "CELseq" "GSE81076" "Ductal"
"D2ex_7" "CELseq" "GSE81076" "Ductal"
"D2ex_8" "CELseq" "GSE81076" "Ductal"
"D2ex_9" "CELseq" "GSE81076" "Ductal"
"D2ex_10" "CELseq" "GSE81076" "Acinar"
"D2ex_11" "CELseq" "GSE81076" "Ductal"
"D2ex_12" "CELseq" "GSE81076" "Ductal"
"D2ex_13" "CELseq" "GSE81076" "Acinar"
"D2ex_14" "CELseq" "GSE81076" "Ductal"
"D2ex_15" "CELseq" "GSE81076" "Acinar"
"D2ex_16" "CELseq" "GSE81076" "Acinar"
"D2ex_17" "CELseq" "GSE81076" "Acinar"
"D2ex_18" "CELseq" "GSE81076" "Acinar"
"D2ex_19" "CELseq" "GSE81076" "Ductal"
"D2ex_20" "CELseq" "GSE81076" "Ductal"
"D2ex_21" "CELseq" "GSE81076" "Acinar"
"D2ex_22" "CELseq" "GSE81076" "Ductal"
"D2ex_23" "CELseq" "GSE81076" "Ductal"
"D2ex_24" "CELseq" "GSE81076" "Acinar"
"D2ex_25" "CELseq" "GSE81076" "Ductal"
"D2ex_26" "CELseq" "GSE81076" "Acinar"
"D2ex_27" "CELseq" "GSE81076" "Ductal"
"D2ex_28" "CELseq" "GSE81076" "Acinar"
"D2ex_29" "CELseq" "GSE81076" "Ductal"
"D2ex_30" "CELseq" "GSE81076" "Acinar"
"D2ex_33" "CELseq" "GSE81076" "Ductal"
"D2ex_34" "CELseq" "GSE81076" "Acinar"
"D2ex_35" "CELseq" "GSE81076" "Ductal"
"D2ex_36" "CELseq" "GSE81076" "Ductal"
"D2ex_37" "CELseq" "GSE81076" "Acinar"
"D2ex_38" "CELseq" "GSE81076" "Ductal"
"D2ex_39" "CELseq" "GSE81076" "Beta"
"D2ex_40" "CELseq" "GSE81076" "Acinar"
"D2ex_41" "CELseq" "GSE81076" "Acinar"
"D2ex_42" "CELseq" "GSE81076" "Acinar"
"D2ex_43" "CELseq" "GSE81076" "Beta"
"D2ex_44" "CELseq" "GSE81076" "Acinar"
"D2ex_46" "CELseq" "GSE81076" "Acinar"
"D2ex_47" "CELseq" "GSE81076" "Ductal"
"D2ex_49" "CELseq" "GSE81076" "Ductal"
"D2ex_51" "CELseq" "GSE81076" "Acinar"
"D2ex_52" "CELseq" "GSE81076" "Acinar"
"D2ex_53" "CELseq" "GSE81076" "Acinar"
"D2ex_55" "CELseq" "GSE81076" "Acinar"
"D2ex_56" "CELseq" "GSE81076" "Ductal"
"D2ex_57" "CELseq" "GSE81076" "Ductal"
"D2ex_58" "CELseq" "GSE81076" "Ductal"
"D2ex_59" "CELseq" "GSE81076" "Acinar"
"D2ex_61" "CELseq" "GSE81076" "Acinar"
"D2ex_62" "CELseq" "GSE81076" "Ductal"
"D2ex_66" "CELseq" "GSE81076" "Acinar"
"D2ex_67" "CELseq" "GSE81076" "Ductal"
"D2ex_68" "CELseq" "GSE81076" "Acinar"
"D2ex_69" "CELseq" "GSE81076" "Acinar"
"D2ex_70" "CELseq" "GSE81076" "Acinar"
"D2ex_71" "CELseq" "GSE81076" "Ductal"
"D2ex_72" "CELseq" "GSE81076" "Ductal"
"D2ex_73" "CELseq" "GSE81076" "Ductal"
"D2ex_74" "CELseq" "GSE81076" "Acinar"
"D2ex_75" "CELseq" "GSE81076" "Acinar"
"D2ex_76" "CELseq" "GSE81076" "Acinar"
"D2ex_77" "CELseq" "GSE81076" "Acinar"
"D2ex_78" "CELseq" "GSE81076" "Beta"
"D2ex_79" "CELseq" "GSE81076" "Acinar"
"D2ex_82" "CELseq" "GSE81076" "Ductal"
"D2ex_83" "CELseq" "GSE81076" "Acinar"
"D2ex_84" "CELseq" "GSE81076" "Ductal"
"D2ex_85" "CELseq" "GSE81076" "Acinar"
"D2ex_86" "CELseq" "GSE81076" "Acinar"
"D2ex_88" "CELseq" "GSE81076" "Ductal"
"D2ex_89" "CELseq" "GSE81076" "Ductal"
"D2ex_90" "CELseq" "GSE81076" "Acinar"
"D2ex_92" "CELseq" "GSE81076" "Acinar"
"D3en1_1" "CELseq" "GSE81076" "Acinar"
"D3en1_5" "CELseq" "GSE81076" "Acinar"
"D3en1_10" "CELseq" "GSE81076" "Acinar"
"D3en1_11" "CELseq" "GSE81076" "Acinar"
"D3en1_13" "CELseq" "GSE81076" "Acinar"
"D3en1_26" "CELseq" "GSE81076" "Acinar"
"D3en1_28" "CELseq" "GSE81076" "Acinar"
"D3en1_29" "CELseq" "GSE81076" "Ductal"
"D3en1_30" "CELseq" "GSE81076" "Ductal"
"D3en1_37" "CELseq" "GSE81076" "Acinar"
"D3en1_41" "CELseq" "GSE81076" "Acinar"
"D3en1_45" "CELseq" "GSE81076" "Acinar"
"D3en1_48" "CELseq" "GSE81076" "Acinar"
"D3en1_49" "CELseq" "GSE81076" "Acinar"
"D3en1_50" "CELseq" "GSE81076" "Ductal"
"D3en1_56" "CELseq" "GSE81076" "Acinar"
"D3en1_60" "CELseq" "GSE81076" "Ductal"
"D3en1_63" "CELseq" "GSE81076" "Acinar"
"D3en1_68" "CELseq" "GSE81076" "Acinar"
"D3en1_69" "CELseq" "GSE81076" "Beta"
"D3en1_71" "CELseq" "GSE81076" "Ductal"
"D3en1_73" "CELseq" "GSE81076" "Acinar"
"D3en1_75" "CELseq" "GSE81076" "Ductal"
"D3en1_79" "CELseq" "GSE81076" "Ductal"
"D3en1_84" "CELseq" "GSE81076" "Acinar"
"D3en1_87" "CELseq" "GSE81076" "Ductal"
"D3en1_88" "CELseq" "GSE81076" "Ductal"
"D3en2_5" "CELseq" "GSE81076" "Acinar"
"D3en2_6" "CELseq" "GSE81076" "Acinar"
"D3en2_16" "CELseq" "GSE81076" "Acinar"
"D3en2_21" "CELseq" "GSE81076" "Acinar"
"D3en2_23" "CELseq" "GSE81076" "Acinar"
"D3en2_24" "CELseq" "GSE81076" "Ductal"
"D3en2_25" "CELseq" "GSE81076" "Acinar"
"D3en2_26" "CELseq" "GSE81076" "Acinar"
"D3en2_27" "CELseq" "GSE81076" "Acinar"
"D3en2_31" "CELseq" "GSE81076" "Acinar"
"D3en2_32" "CELseq" "GSE81076" "Acinar"
"D3en2_33" "CELseq" "GSE81076" "Acinar"
"D3en2_37" "CELseq" "GSE81076" "Acinar"
"D3en2_39" "CELseq" "GSE81076" "Acinar"
"D3en2_42" "CELseq" "GSE81076" "Acinar"
"D3en2_45" "CELseq" "GSE81076" "Acinar"
"D3en2_48" "CELseq" "GSE81076" "Acinar"
"D3en2_52" "CELseq" "GSE81076" "Alpha"
"D3en2_57" "CELseq" "GSE81076" "Acinar"
"D3en2_58" "CELseq" "GSE81076" "Alpha"
"D3en2_60" "CELseq" "GSE81076" "Ductal"
"D3en2_62" "CELseq" "GSE81076" "Ductal"
"D3en2_66" "CELseq" "GSE81076" "Acinar"
"D3en2_68" "CELseq" "GSE81076" "Ductal"
"D3en2_71" "CELseq" "GSE81076" "Acinar"
"D3en2_72" "CELseq" "GSE81076" "Acinar"
"D3en2_74" "CELseq" "GSE81076" "Acinar"
"D3en2_90" "CELseq" "GSE81076" "Acinar"
"D3en2_91" "CELseq" "GSE81076" "Ductal"
"D3en3_2" "CELseq" "GSE81076" "Acinar"
"D3en3_6" "CELseq" "GSE81076" "Ductal"
"D3en3_9" "CELseq" "GSE81076" "Acinar"
"D3en3_39" "CELseq" "GSE81076" "Acinar"
"D3en3_46" "CELseq" "GSE81076" "Acinar"
"D3en3_50" "CELseq" "GSE81076" "Acinar"
"D3en3_51" "CELseq" "GSE81076" "Beta"
"D3en3_53" "CELseq" "GSE81076" "Ductal"
"D3en3_64" "CELseq" "GSE81076" "Acinar"
"D3en3_68" "CELseq" "GSE81076" "Acinar"
"D3en3_72" "CELseq" "GSE81076" "Acinar"
"D3en3_75" "CELseq" "GSE81076" "Alpha"
"D3en3_87" "CELseq" "GSE81076" "Ductal"
"D3en3_89" "CELseq" "GSE81076" "Acinar"
"D3en4_4" "CELseq" "GSE81076" "Ductal"
"D3en4_6" "CELseq" "GSE81076" "Ductal"
"D3en4_7" "CELseq" "GSE81076" "Acinar"
"D3en4_8" "CELseq" "GSE81076" "Acinar"
"D3en4_9" "CELseq" "GSE81076" "Acinar"
"D3en4_12" "CELseq" "GSE81076" "Acinar"
"D3en4_14" "CELseq" "GSE81076" "Acinar"
"D3en4_20" "CELseq" "GSE81076" "Acinar"
"D3en4_22" "CELseq" "GSE81076" "Alpha"
"D3en4_23" "CELseq" "GSE81076" "Ductal"
"D3en4_25" "CELseq" "GSE81076" "Acinar"
"D3en4_26" "CELseq" "GSE81076" "Acinar"
"D3en4_30" "CELseq" "GSE81076" "Acinar"
"D3en4_31" "CELseq" "GSE81076" "Acinar"
"D3en4_32" "CELseq" "GSE81076" "Acinar"
"D3en4_33" "CELseq" "GSE81076" "Acinar"
"D3en4_35" "CELseq" "GSE81076" "Acinar"
"D3en4_39" "CELseq" "GSE81076" "Acinar"
"D3en4_41" "CELseq" "GSE81076" "Ductal"
"D3en4_42" "CELseq" "GSE81076" "Acinar"
"D3en4_46" "CELseq" "GSE81076" "Acinar"
"D3en4_47" "CELseq" "GSE81076" "Alpha"
"D3en4_48" "CELseq" "GSE81076" "Acinar"
"D3en4_54" "CELseq" "GSE81076" "Acinar"
"D3en4_56" "CELseq" "GSE81076" "Beta"
"D3en4_60" "CELseq" "GSE81076" "Acinar"
"D3en4_61" "CELseq" "GSE81076" "Ductal"
"D3en4_63" "CELseq" "GSE81076" "Ductal"
"D3en4_64" "CELseq" "GSE81076" "Acinar"
"D3en4_65" "CELseq" "GSE81076" "Ductal"
"D3en4_68" "CELseq" "GSE81076" "Acinar"
"D3en4_69" "CELseq" "GSE81076" "Acinar"
"D3en4_71" "CELseq" "GSE81076" "Alpha"
"D3en4_72" "CELseq" "GSE81076" "Acinar"
"D3en4_73" "CELseq" "GSE81076" "Ductal"
"D3en4_74" "CELseq" "GSE81076" "Acinar"
"D3en4_83" "CELseq" "GSE81076" "Acinar"
"D3en4_85" "CELseq" "GSE81076" "Acinar"
"D3en4_87" "CELseq" "GSE81076" "Acinar"
"D3en4_91" "CELseq" "GSE81076" "Alpha"
"D3en4_92" "CELseq" "GSE81076" "Acinar"
"D3ex_5" "CELseq" "GSE81076" "Acinar"
"D3ex_6" "CELseq" "GSE81076" "Acinar"
"D3ex_9" "CELseq" "GSE81076" "Ductal"
"D3ex_12" "CELseq" "GSE81076" "Ductal"
"D3ex_34" "CELseq" "GSE81076" "Acinar"
"D3ex_36" "CELseq" "GSE81076" "Acinar"
"D3ex_66" "CELseq" "GSE81076" "Beta"
"D3ex_68" "CELseq" "GSE81076" "Acinar"
"D3ex_71" "CELseq" "GSE81076" "Acinar"
"D3ex_74" "CELseq" "GSE81076" "Acinar"
"D3ex_76" "CELseq" "GSE81076" "Acinar"
"D3ex_77" "CELseq" "GSE81076" "Delta"
"D3ex_83" "CELseq" "GSE81076" "Acinar"
"D3ex_91" "CELseq" "GSE81076" "Ductal"
"D74_1" "CELseq" "GSE81076" "Beta"
"D74_2" "CELseq" "GSE81076" "Beta"
"D74_3" "CELseq" "GSE81076" "Beta"
"D74_5" "CELseq" "GSE81076" "Beta"
"D74_6" "CELseq" "GSE81076" "Ductal"
"D74_7" "CELseq" "GSE81076" "other"
"D74_8" "CELseq" "GSE81076" "Alpha"
"D74_9" "CELseq" "GSE81076" "Delta"
"D74_10" "CELseq" "GSE81076" "Beta"
"D74_13" "CELseq" "GSE81076" "Ductal"
"D74_14" "CELseq" "GSE81076" "Acinar"
"D74_15" "CELseq" "GSE81076" "Delta"
"D74_16" "CELseq" "GSE81076" "Beta"
"D74_17" "CELseq" "GSE81076" "Acinar"
"D74_18" "CELseq" "GSE81076" "Ductal"
"D74_20" "CELseq" "GSE81076" "Delta"
"D74_21" "CELseq" "GSE81076" "Beta"
"D74_22" "CELseq" "GSE81076" "Ductal"
"D74_23" "CELseq" "GSE81076" "Ductal"
