"Protocol" "Study" "CellType"
"1" "MARS-seq" "GSE72857" "GMP"
"2" "MARS-seq" "GSE72857" "MEP"
"3" "MARS-seq" "GSE72857" "GMP"
"4" "MARS-seq" "GSE72857" "MEP"
"5" "MARS-seq" "GSE72857" "GMP"
"6" "MARS-seq" "GSE72857" "MEP"
"7" "MARS-seq" "GSE72857" "MEP"
"8" "MARS-seq" "GSE72857" "MEP"
"9" "MARS-seq" "GSE72857" "MEP"
"10" "MARS-seq" "GSE72857" "MEP"
"11" "MARS-seq" "GSE72857" "GMP"
"12" "MARS-seq" "GSE72857" "GMP"
"13" "MARS-seq" "GSE72857" "GMP"
"14" "MARS-seq" "GSE72857" "MEP"
"15" "MARS-seq" "GSE72857" "CMP"
"16" "MARS-seq" "GSE72857" "MEP"
"17" "MARS-seq" "GSE72857" "MEP"
"18" "MARS-seq" "GSE72857" "MEP"
"19" "MARS-seq" "GSE72857" "CMP"
"20" "MARS-seq" "GSE72857" "MEP"
"21" "MARS-seq" "GSE72857" "CMP"
"22" "MARS-seq" "GSE72857" "CMP"
"23" "MARS-seq" "GSE72857" "CMP"
"24" "MARS-seq" "GSE72857" "GMP"
"25" "MARS-seq" "GSE72857" "GMP"
"26" "MARS-seq" "GSE72857" "MEP"
"27" "MARS-seq" "GSE72857" "GMP"
"28" "MARS-seq" "GSE72857" "GMP"
"29" "MARS-seq" "GSE72857" "MEP"
"30" "MARS-seq" "GSE72857" "MEP"
"31" "MARS-seq" "GSE72857" "MEP"
"32" "MARS-seq" "GSE72857" "MEP"
"33" "MARS-seq" "GSE72857" "MEP"
"34" "MARS-seq" "GSE72857" "GMP"
"35" "MARS-seq" "GSE72857" "MEP"
"36" "MARS-seq" "GSE72857" "MEP"
"37" "MARS-seq" "GSE72857" "MEP"
"38" "MARS-seq" "GSE72857" "GMP"
"39" "MARS-seq" "GSE72857" "MEP"
"40" "MARS-seq" "GSE72857" "MEP"
"41" "MARS-seq" "GSE72857" "GMP"
