V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 V25 V26 V27 V28 V29 V30 V31 V32 V33 V34 V35 V36 V37 V38 V39 V40 V41 V42 V43 V44 V45 V46 V47 V48 V49 V50 V51 V52 V53 V54 V55 V56 V57 V58 V59 V60 V61 V62 V63 V64 V65 V66 V67 V68 V69 V70 V71 V72 V73 V74 V75 V76 V77 V78 V79 V80 V81 V82 V83 V84 V85 V86 V87 V88 V89 V90 V91 V92 V93 V94 V95 V96 V97 V98 V99 V100
1 -0.328330823 0.41345127 -0.036565131 -0.254985906 0.018229615 -0.020385785 -0.01188907 -0.008442616 -0.004890255 0.011445389 0.032779287 0.041521873 0.018322361 0.003641521 -0.031178481 -0.002151519 0.010275758 0.005741114 0.003733835 0.003030407 0.025002248 -0.022485501 -0.005860852 -0.017440013 0.000514128 -0.024547082 0.000641891 0.001811057 0.007275524 0.005803425 -0.009165757 0.004335899 0.012344538 -0.000854963 -0.000144354 0.005545056 -0.009184373 -0.002353543 -0.030590453 0.015788302 0.00240369 0.011250401 -0.00016429 0.007759393 0.025840271 -0.048703286 -0.004720377 0.028842794 -0.006333042 0.00602575 -0.001774913 -0.00677129 -0.019678074 0.00884741 -0.010604357 -0.02695328 0.020452216 0.012146541 -0.03089739 0.024896099 -0.004209553 -0.01851196 -0.00070097 -0.009333346 -0.000348184 0.016990306 -0.003661251 -0.051277617 -0.02270371 0.015229821 -0.003829023 -0.024225863 -0.02851898 0.026614493 -0.004892149 0.010738361 -0.004024917 -0.003484633 0.007360765 -0.026552102 -0.005084673 0.026285947 -0.017762051 0.025520276 0.028239067 0.011322187 0.009202322 -0.0080136 0.015508874 0.028566679 -0.01476978 -0.037461552 0.002139637 0.030054406 0.021579003 -0.017328876 -0.018736905 -0.020192951 -0.042009426 0.008889701
2 -0.351562703 0.440538331 -0.051037807 -0.276531464 0.028224679 -0.037828272 0.000699995 0.002584367 -0.005338171 0.019497138 0.024448831 0.056304084 0.017860791 0.001145278 -0.001498183 0.003384346 0.010639163 -0.017564291 -0.0072642 -0.029563947 -0.004982701 -0.003172858 -0.004931769 -0.011671634 0.030191134 -0.005498067 -0.024841787 -0.009291637 0.004412387 -0.005295067 -0.019109196 -0.03963369 -0.016705385 0.001906034 -0.023530688 -0.018689597 -0.001138059 0.011315169 0.000278694 0.008825552 -0.015845227 0.047079033 0.003721725 0.007645075 0.001636016 0.034393771 0.012429692 -0.003270183 -0.052385295 -0.0091609 0.036236146 -0.019040937 0.014384603 -0.001739308 -0.012215084 0.019569117 -0.023345966 -0.012716785 -0.023715171 0.012846692 -0.004209369 0.019917114 -0.006823437 0.008464594 -0.013239982 0.02505972 -0.004233555 0.019019317 -0.011383927 -0.004286551 0.01869863 -0.00905023 0.018061933 -0.025939409 0.009729579 -0.002989745 -0.03605922 0.00058627 -0.014340541 -0.002075593 0.011577502 -0.006310587 -0.00910213 -0.004575983 0.013004867 -0.021712115 -0.006717126 -0.009516348 -0.005041428 -0.009217141 0.003186508 -0.034812983 -0.007465568 0.010097108 0.028200075 -0.026719535 0.008283051 0.009732623 0.004863564 -0.015466921
3 -0.338366324 0.434615547 -0.061162252 -0.270646458 0.039394663 -0.027133132 0.006105189 -0.009712016 -0.020917579 0.034567488 0.055954817 0.088480305 0.048708191 -0.003507103 0.004549278 0.022603263 -0.007638437 0.0075217 -0.002906576 -0.006931061 0.011179037 -0.023999985 -0.002023446 0.007019589 0.019317318 -0.021354697 -0.002419372 0.02342063 0.011646761 -0.003263091 0.011689267 0.018588474 0.01873588 0.002042824 0.024430012 -0.016114117 0.03299599 -0.005364931 -0.020358244 0.011170624 0.021425183 -0.020322476 0.0144066 0.00202311 -0.013626194 -0.014792662 0.00286034 -0.000511572 0.000224312 -0.008737749 0.002243875 -0.010634638 0.013146115 -0.012828127 -0.042838352 -0.006814792 0.033629129 0.013606553 0.012252218 -0.010720498 0.015863888 0.017949094 -0.022903528 0.011630312 -0.004973616 0.020112116 0.010455537 0.010104831 -0.022354777 0.013094197 -0.014439169 -0.014817673 0.007944065 0.021613233 0.000916257 0.003136705 -0.016055613 -0.027000715 -0.013769393 0.015504734 0.00695543 0.021895686 0.037376482 0.006051695 0.025647207 -0.003756465 -0.025128358 0.013673816 -0.005384782 0.016222227 -0.008346635 0.024964235 -0.012100561 -0.008745726 0.007620064 -0.037003882 0.011282784 0.00733523 -0.004853501 0.023277103
4 -0.335741845 0.440099799 -0.06566589 -0.269411205 0.018105617 -0.013350746 0.003352064 -0.00645007 -0.016828421 0.029486333 0.047107039 0.075077738 0.025669787 0.019319601 0.019144601 0.009815741 0.017598023 -0.003934446 0.000222026 -0.00994569 -0.008293506 0.017072761 -0.003008122 0.006222633 0.011529315 0.007809741 0.017739138 -0.041520152 0.020502198 -0.006279229 -0.005265066 0.001644537 0.00407374 0.012362039 0.016908098 -0.023802537 0.005332158 -0.016225001 0.003553448 0.009252315 0.007965971 0.006413813 0.001195721 0.004890677 3.1451e-05 -0.023781203 0.00533217 0.009788543 0.00393889 0.030806164 -0.029651443 0.015618055 0.000995761 0.002905104 0.011848937 0.043788878 -0.014559948 0.008019594 -0.00656959 -0.004621222 0.025591075 -0.007672403 0.030773375 0.009297039 -0.010568762 -0.003824242 -0.001827932 -0.00492744 -0.029560259 -0.015550171 0.00713956 -0.01870954 0.025704591 0.010858246 -0.009910054 -0.019001906 -0.005482787 -0.010117806 0.003327269 0.002756997 0.028589371 0.031623037 -0.025573082 -0.006647936 -0.013812497 0.027401265 -0.009358893 0.009756144 -0.019229872 0.038220566 -0.012793462 -0.019044662 0.004267132 -0.004909976 -0.012793498 0.016524134 0.003680718 0.0138233 0.003708394 -0.015527356
5 -0.329710723 0.432469093 -0.039623296 -0.279454381 0.025661921 -0.037022952 -0.005846701 -0.012269127 -0.019598658 0.021511766 0.040227137 0.065442572 0.018745361 0.007199862 -0.003166337 0.004740176 -0.012436356 -0.018244984 0.016175337 0.001184675 0.005085164 0.023352682 -0.008918564 0.007000778 0.002408688 0.005306793 -0.000266054 -0.006212168 -0.004771448 0.016350737 0.017960542 0.008983961 0.00740173 -0.011955817 -0.021579879 0.007652738 -0.004115976 -0.008417512 0.021095999 -0.002952591 -0.014509848 0.004042223 0.004390846 -0.028473878 0.005732825 0.01458105 0.016238429 -0.00159092 -0.016548276 -0.01846207 0.00723178 0.034742776 0.020649039 -0.002836265 0.003683748 -0.018740362 0.010207313 0.023671409 0.000453666 -0.001468127 0.02543554 -0.014318427 -0.003721606 -0.004587438 0.003852014 -0.044797956 0.010110175 0.023484855 0.006315872 -0.033338075 0.048658623 0.003245682 -0.028661356 0.018590504 -0.009961552 0.019380602 -0.020095946 -0.012953471 -0.028823219 -0.021063819 -0.006788038 -0.020690883 0.006539747 -0.03395828 0.014031749 -0.00957965 -0.010231811 0.004064588 0.03038313 -0.008590645 0.009633387 -0.003347638 -0.013645848 -0.020410465 0.008308267 -0.028856902 0.017031475 -0.037359545 -0.01459957 0.0053011
6 -0.339136315 0.423065358 -0.049003943 -0.270209964 0.024831213 -0.018101024 0.000304015 -0.007524502 -0.005746288 0.016257285 0.045757753 0.088670054 0.037599521 0.002106922 0.006992687 -0.001728799 0.009612806 -0.013431107 -0.010219173 -0.01172093 0.024746771 -0.009244433 -0.016795792 0.008124274 -0.009511308 -0.017240134 -0.002847657 0.002515119 0.017308269 -0.009200392 -0.004895473 -0.002523035 0.007903331 -0.00687069 -0.002819609 0.004515829 -0.00745822 0.007746538 -0.021227921 -0.012894115 0.00891078 0.012577737 -0.001756026 0.02258162 0.022401725 0.001758706 0.001916416 -0.021187638 -0.013471344 -0.001767209 0.002759058 0.033289271 -0.010004382 0.028340977 0.000886466 -0.002699531 0.016211871 0.026811296 -0.024504962 -0.007392213 0.007490542 0.00325653 0.034729871 0.016112428 0.033473038 -0.042777694 0.010044327 -0.017673251 0.005276805 0.001130752 0.008178436 0.014021943 0.007298782 0.032621453 -0.00716875 0.024658162 -0.004385638 0.007713464 0.050187873 -0.025967857 0.008026965 -0.016120718 0.013397339 0.021986125 -0.007585832 0.006136544 0.022052772 0.043212366 -0.004283562 -0.001069296 0.002457449 -0.036163814 0.023116511 -0.005431659 0.019858804 0.010008852 -0.017929518 0.0250702 0.013513271 -0.012027475
7 -0.321176713 0.426354714 -0.043243336 -0.270265701 0.014663772 -0.027272769 -0.002222972 0.002610993 -0.009891348 0.009960356 0.048528509 0.076081685 0.030125934 0.008390003 -0.003569968 -0.006530722 0.02390016 0.005287485 0.008775815 0.012480791 -0.011228301 0.009281412 0.004144896 0.007005736 -0.001657282 -0.0100585 0.015335419 0.021679989 -0.000526417 0.015062565 0.001021299 -0.012626848 -0.000789768 0.005182992 -0.009510627 -0.015619707 -0.003009792 -0.018827938 -0.017380016 -0.011501781 -0.006577164 -0.002031265 0.016705903 -0.0194091 0.052466427 0.019717688 0.025766626 0.0062274 0.005494616 -0.023487266 5.14e-07 0.001538974 -0.044184926 -0.039806577 -0.002660296 0.02240941 0.025011269 -0.033968824 -0.016761443 -0.008867757 -0.008178928 0.014382336 -6.1518e-05 0.02289252 0.002629966 -0.005930199 0.002501804 0.002508298 0.016283164 -0.021478627 0.025487468 0.011235873 0.005140068 -0.029230091 -0.020026527 0.043942618 -0.00710295 0.004466789 -0.017160398 0.025194941 -0.040519668 -0.026981062 0.007488016 -0.021680501 -0.016985343 -0.009878855 0.011390267 -0.013281188 -0.002091901 0.011984655 0.007074739 -0.027613379 -0.038952619 -0.007509633 -0.043818417 0.010682274 -0.006865782 0.030644843 -0.024024203 0.011581229
8 -0.355704549 0.445776607 -0.055935832 -0.28619743 0.033704574 -0.020939592 0.0064525 -0.004426441 -0.012830901 0.011573137 0.031970245 0.060022913 0.041255982 0.015981038 0.013204753 -0.007922398 -0.013336021 -0.00150604 0.00929228 -0.021528243 0.002773245 0.007168816 0.009089496 0.003885779 -0.005867488 0.005318258 0.031835263 0.001193449 -0.011063511 -0.017271286 -0.015946613 -0.000574045 -0.007710115 -0.041337095 -0.017267498 0.001207214 -0.010743229 -0.004200457 -0.002695148 -0.027872964 -0.010046436 -0.003372715 -0.010578583 -0.026942754 0.020595528 0.005313083 0.013497739 -0.011522436 -0.007455726 0.021404309 -0.030606197 -0.006608844 0.027819034 0.016777302 -0.011226839 0.028125659 0.005018114 -0.006413449 0.013154293 -0.032756469 0.00138725 -0.006282627 0.004898493 0.018544971 0.012176194 -0.003876551 0.015185254 -0.006781445 0.016986811 0.007915944 0.008613414 0.018363696 0.000790197 -0.005345909 0.019039602 0.021823238 -0.011964234 0.002717699 0.030109412 0.01694075 -0.004936022 -0.020191328 0.003138753 -0.028235258 -0.021449911 0.021067118 0.026077942 -0.041134473 -0.031235707 0.044184598 0.012368492 0.006202819 0.005245134 -0.005480877 -0.00711771 0.005843524 -0.004849178 -0.014445478 0.001127054 -0.046305813
9 -0.342562987 0.426077922 -0.057510989 -0.250254792 0.008596279 -0.029515557 0.006904068 0.003597818 -0.014439904 0.032884279 0.034352912 0.054939412 0.020708075 -0.00724309 0.004943257 -0.009759682 0.004839199 -0.01621314 -0.003604802 -0.017310916 0.009818206 0.008617544 0.007975389 -0.010625306 0.008707095 -0.005561157 0.002729152 0.003003111 0.00051201 -0.009349921 0.006081866 0.022024453 -0.009948607 -0.043850878 0.016062826 -0.00534547 0.012007853 -0.002644855 -0.020563096 -0.005223429 -0.018232179 -0.028793438 -0.024475042 -0.009710897 -0.006930667 0.034122636 0.001281441 0.022643606 0.006875095 0.023028101 0.00967396 -0.015754038 0.008895224 -0.007076518 0.017820785 -0.005796664 -0.007723581 0.000389199 0.002981415 0.000687209 -0.014931824 0.006998743 -0.017408245 0.010933926 0.017056628 -0.002304965 -0.008488607 0.018028632 -0.011372081 0.001970955 -0.030093458 0.022697718 0.031994116 -0.043473831 -0.025031817 0.001708887 0.002816453 0.007953378 -0.026995181 0.009731349 0.058231804 -0.02595923 -0.011066732 -0.000938441 0.003820334 -0.039419799 0.026248643 -0.007025353 -0.023645942 -0.003539929 -0.038713342 -0.010086043 -0.005301811 -0.043535933 0.029475643 0.005986973 -0.024444502 0.027155944 0.013064284 0.020583811
10 -0.354705048 0.427461818 -0.04793428 -0.26257194 0.019440724 -0.024476942 -0.001838509 -0.016472382 -0.01272582 0.023429402 0.039101086 0.060153558 0.030920534 0.005449576 -0.00529859 -0.000709058 -0.000813541 -0.008885136 0.018567096 -0.00936734 -0.005465656 -0.008342958 -0.008165949 -0.001993006 0.001295602 -0.000587147 -0.003889756 0.001070454 -0.001246319 -0.002424796 0.017340783 -0.016090269 -0.009714791 -0.021525274 0.001051182 0.012309091 -0.001392325 0.004110127 -0.022258299 -0.017146005 -0.007541227 -0.004077892 -0.005291024 0.011325049 -0.031487648 -0.011519147 -0.018525581 -0.036334738 0.003051354 0.015462315 -0.000748153 0.019832147 0.028719575 -0.005965516 0.034225424 0.019336302 0.008522027 0.004538145 0.018288055 -0.011364489 -0.001042223 0.018906739 0.015061052 0.028140755 0.031194734 -0.015002284 0.027302422 -0.025838237 -0.010893988 -0.015675358 0.013829401 0.023281153 -0.026856412 -0.001844036 -0.002759223 0.001780485 -0.008041041 -0.006571323 0.018574973 0.030707527 -0.037378494 -0.004342145 -0.011085299 -0.026936101 0.016136109 -0.013079746 0.017750498 -0.004743055 -0.013916275 -0.014725581 0.000179701 3.6821e-05 0.010883954 -0.028222919 -0.031061494 0.003516825 -0.021033582 -0.015904472 0.012819506 0.010175446
